Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
11,Kyler Murray,27,ARI,QB,17,17,8-9-0,372,541,68.8,3851,21,3.9,11,2.0,191,51.7,60,7.1,6.98,10.4,226.5,93.5,66.5,30,220,5.25,6.36,6.23,3,3,AP CPoY-10,MurrKy00
12,Bo Nix,24,DEN,QB,17,17,10-7-0,376,567,66.3,3775,29,5.1,12,2.1,170,43.7,93,6.7,6.73,10.0,222.1,93.3,56.8,24,198,4.06,6.05,6.12,3,3,AP ORoY-3,NixxBo00
13,Matthew Stafford,36,LAR,QB,16,16,10-6-0,340,517,65.8,3762,20,3.9,8,1.5,176,50.1,69,7.3,7.35,11.1,235.1,93.7,64.7,28,213,5.14,6.51,6.59,3,5,,StafMa00
14,Josh Allen,28,BUF,QB,17,17,13-4-0,307,483,63.6,3731,28,5.8,6,1.2,173,49.1,64,7.7,8.33,12.2,219.5,101.4,77.3,14,63,2.82,7.38,7.96,0,2,PBAP-2AP MVP-1AP OPoY-6,AlleJo02
15,C.J. Stroud,23,HOU,QB,17,17,10-7-0,336,532,63.2,3727,20,3.8,12,2.3,187,43.0,67,7.0,6.74,11.1,219.2,87.0,49.8,52,408,8.90,5.68,5.44,1,2,,StroCJ00
16,Jayden Daniels,24,WAS,QB,17,17,12-5-0,331,480,69.0,3568,25,5.2,9,1.9,170,47.1,86,7.4,7.63,10.8,209.9,100.1,70.6,47,238,8.92,6.32,6.50,4,4,PBAP MVP-7AP OPoY-17AP ORoY-1,DaniJa02
17,Caleb Williams,23,CHI,QB,17,17,5-12-0,351,562,62.5,3541,20,3.6,6,1.1,171,40.3,47,6.3,6.53,10.1,208.3,87.8,46.7,68,466,10.79,4.88,5.09,2,1,AP ORoY-10,WillCa03
18,Kirk Cousins,36,ATL,QB,14,14,7-7-0,303,453,66.9,3508,18,4.0,16,3.5,163,46.4,60,7.7,6.95,11.6,250.6,88.6,50.4,28,201,5.82,6.88,6.13,3,3,AP CPoY-13,CousKi00
19,Jordan Love,26,GNB,QB,15,15,9-6-0,268,425,63.1,3389,25,5.9,11,2.6,151,48.3,70,8.0,7.99,12.6,225.9,96.7,69.3,14,95,3.19,7.50,7.51,2,2,,LoveJo03
20,Jalen Hurts,26,PHI,QB,15,15,12-3-0,248,361,68.7,2903,18,5.0,5,1.4,139,46.6,67,8.0,8.42,11.7,193.5,103.7,65.6,38,271,9.52,6.60,6.93,3,4,,HurtJa00
21,Tua Tagovailoa,26,MIA,QB,11,11,6-5-0,291,399,72.9,2867,19,4.8,7,1.8,161,51.9,80,7.2,7.35,9.9,260.6,101.4,60.3,21,154,5.00,6.46,6.61,2,2,,TagoTu00
22,Russell Wilson,36,PIT,QB,11,11,6-5-0,214,336,63.7,2482,16,4.8,5,1.5,112,43.6,46,7.4,7.67,11.6,225.6,95.6,51.3,33,219,8.94,6.13,6.39,1,1,PBAP CPoY-14,WilsRu00
23,Bryce Young,23,CAR,QB,14,12,4-8-0,234,384,60.9,2403,15,3.9,9,2.3,117,39.0,83,6.3,5.98,10.3,171.6,82.2,54.1,29,186,7.02,5.37,5.11,1,4,,YounBr01
24,Drake Maye,22,NWE,QB,13,12,3-9-0,225,338,66.6,2276,15,4.4,10,3.0,112,46.0,40,6.7,6.29,10.1,175.1,88.1,58.6,34,229,9.14,5.50,5.10,0,0,PBAP ORoY-8,MayeDr00
25,Derek Carr,33,NOR,QB,10,10,5-5-0,189,279,67.7,2145,15,5.4,5,1.8,93,45.3,71,7.7,7.96,11.3,214.5,101.0,63.4,8,48,2.79,7.31,7.57,0,1,,CarrDe02
26,Jameis Winston,30,CLE,QB,12,7,2-5-0,181,296,61.1,2121,13,4.4,12,4.1,103,44.1,89,7.2,6.22,11.7,176.8,80.6,55.6,24,130,7.50,6.22,5.35,2,2,,WinsJa00
27,Will Levis,25,TEN,QB,12,12,2-10-0,190,301,63.1,2091,13,4.3,12,4.0,86,36.5,98,6.9,6.02,11.0,174.3,81.4,27.8,41,233,11.99,5.43,4.61,1,1,,LeviWi00
28,Daniel Jones,27,NYG,QB,10,10,2-8-0,216,341,63.3,2070,8,2.3,7,2.1,106,43.0,43,6.1,5.62,9.6,207.0,79.4,47.8,29,172,7.84,5.13,4.71,0,0,,JoneDa05
29,Trevor Lawrence,25,JAX,QB,10,10,2-8-0,172,284,60.6,2045,11,3.9,7,2.5,97,45.4,85,7.2,6.87,11.9,204.5,85.2,59.5,18,140,5.96,6.31,5.99,0,1,,LawrTr00
30,Gardner Minshew II,28,LVR,QB,10,9,2-7-0,203,306,66.3,2013,9,2.9,10,3.3,106,44.2,57,6.6,5.70,9.9,201.3,81.0,38.1,29,164,8.66,5.52,4.71,1,1,,MinsGa00
31,Dak Prescott,31,DAL,QB,8,8,3-5-0,185,286,64.7,1978,11,3.8,8,2.8,87,45.3,65,6.9,6.43,10.7,247.3,86.0,45.3,21,112,6.84,6.08,5.62,1,1,,PresDa01
32,Cooper Rush,31,DAL,QB,12,8,4-4-0,187,308,60.7,1844,12,3.9,5,1.6,92,42.4,64,6.0,6.04,9.9,153.7,83.8,41.0,13,95,4.05,5.45,5.50,0,0,,RushCo00
33,Anthony Richardson,22,IND,QB,11,11,6-5-0,126,264,47.7,1814,8,3.0,12,4.5,73,36.0,69,6.9,5.43,14.4,164.9,61.6,47.4,14,115,5.04,6.11,4.74,2,3,AP CPoY-25,RichAn03
34,Joe Flacco,39,IND,QB,8,6,2-4-0,162,248,65.3,1761,12,4.8,7,2.8,87,46.2,65,7.1,6.80,10.9,220.1,90.5,53.4,18,123,6.77,6.16,5.88,1,2,,FlacJo00
35,Mac Jones,26,JAX,QB,10,7,2-5-0,171,262,65.3,1672,8,3.1,8,3.1,77,42.8,62,6.4,5.62,9.8,167.2,80.5,39.8,14,100,5.07,5.70,4.97,1,1,,JoneMa05
36,Aidan O'Connell,26,LVR,QB,9,7,2-5-0,154,243,63.4,1612,8,3.3,4,1.6,78,47.8,58,6.6,6.55,10.5,179.1,86.7,49.4,10,82,3.95,6.05,5.97,1,1,,OConAi00
37,Mason Rudolph,29,TEN,QB,8,5,1-4-0,146,228,64.0,1530,9,3.9,9,3.9,78,49.0,47,6.7,5.72,10.5,191.3,80.1,55.5,11,71,4.60,6.10,5.16,0,1,,RudoMa00
38,Spencer Rattler,24,NOR,QB,7,6,0-6-0,130,228,57.0,1317,4,1.8,5,2.2,62,34.8,41,5.8,5.14,10.1,188.1,70.4,40.3,22,136,8.80,4.72,4.14,0,0,,RattSp00
39,Deshaun Watson,29,CLE,QB,7,7,1-6-0,137,216,63.4,1148,5,2.3,3,1.4,49,33.3,35,5.3,5.15,8.4,164.0,79.0,23.4,33,191,13.25,3.84,3.70,0,0,,WatsDe00
40,Justin Fields,25,PIT,QB,10,6,4-2-0,106,161,65.8,1106,5,3.1,1,0.6,45,42.9,55,6.9,7.21,10.4,110.6,93.3,50.8,16,124,9.04,5.55,5.86,0,1,,FielJu00
41,Drew Lock,28,NYG,QB,8,5,1-4-0,107,181,59.1,1071,6,3.3,5,2.8,45,39.9,59,5.9,5.34,10.0,133.9,75.5,46.4,12,88,6.22,5.09,4.55,0,0,,LockDr00
42,Andy Dalton,37,CAR,QB,6,5,1-4-0,106,160,66.3,989,7,4.4,6,3.8,50,40.7,39,6.2,5.37,9.3,164.8,82.0,55.4,7,37,4.19,5.70,4.92,0,0,,DaltAn00
43,Tyler Huntley,26,MIA,QB,5,5,2-3-0,86,133,64.7,829,3,2.3,3,2.3,45,40.5,25,6.2,5.67,9.6,165.8,80.1,35.2,15,92,10.14,4.98,4.47,1,1,,HuntTy01
44,Jacoby Brissett,32,NWE,QB,8,5,1-4-0,95,161,59.0,826,2,1.2,1,0.6,41,35.8,50,5.1,5.10,8.7,103.3,74.2,44.8,18,119,10.06,3.95,3.92,1,1,,BrisJa00
45,Michael Penix,24,ATL,QB,5,3,1-2-0,61,105,58.1,775,3,2.9,3,2.9,35,42.2,42,7.4,6.67,12.7,155.0,78.9,51.0,4,14,3.67,6.98,6.29,0,0,,PeniMi00
46,Malik Willis,25,GNB,QB,7,2,2-0-0,40,54,74.1,550,3,5.6,0,0.0,20,37.1,51,10.2,11.30,13.8,78.6,124.8,79.6,8,37,12.90,8.27,9.24,0,1,,WillMa12
47,Desmond Ridder,25,LVR,QB,6,1,0-1-0,52,85,61.2,458,2,2.4,2,2.4,24,42.1,28,5.4,4.80,8.8,76.3,73.6,28.0,10,64,10.53,4.15,3.62,0,0,,RiddDe00
48,Dorian Thompson-Robinson,25,CLE,QB,7,2,0-2-0,61,118,51.7,440,0,0.0,6,5.1,20,27.8,29,3.7,1.44,7.2,62.9,39.5,19.4,8,47,6.35,3.12,0.98,0,0,,ThomDo02
49,Marcus Mariota,31,WAS,QB,3,0,,34,44,77.3,364,4,9.1,0,0.0,22,55.3,29,8.3,10.09,10.7,121.3,131.2,87.8,3,29,6.38,7.13,8.83,1,1,,MariMa01
50,Joshua Dobbs,29,SFO,QB,2,1,0-1-0,32,47,68.1,361,2,4.3,2,4.3,18,55.1,36,7.7,6.62,11.3,180.5,87.3,37.4,2,28,4.08,6.80,5.78,0,0,,DobbJo00
51,Jimmy Garoppolo,33,LAR,QB,1,1,0-1-0,27,41,65.9,334,2,4.9,1,2.4,16,50.0,50,8.1,8.02,12.4,334.0,97.0,48.3,3,15,6.82,7.25,7.14,0,0,,GaroJi00
52,Tanner McKee,24,PHI,QB,2,1,1-0-0,30,45,66.7,323,4,8.9,0,0.0,17,48.9,25,7.2,8.96,10.8,161.5,117.2,68.5,2,17,4.26,6.51,8.21,0,0,,McKeTa01
53,Kenny Pickett,26,PHI,QB,5,1,1-0-0,25,42,59.5,291,2,4.8,1,2.4,12,41.3,49,6.9,6.81,11.6,58.2,86.5,75.7,4,33,8.70,5.61,5.50,0,0,,PickKe00
54,Tim Boyle,30,2TM,QB,3,0,,27,50,54.0,276,1,2.0,1,2.0,11,38.5,30,5.5,5.02,10.2,92.0,68.4,,2,11,3.85,5.10,4.62,0,0,,BoylTi00
54,Tim Boyle,30,MIA,QB,2,0,,15,26,57.7,153,0,0.0,0,0.0,7,40.7,30,5.9,5.88,10.2,76.5,74.7,,1,9,3.70,5.33,5.33,0,0,,BoylTi00
54,Tim Boyle,30,NYG,QB,1,0,,12,24,50.0,123,1,4.2,1,4.2,4,36.0,25,5.1,4.08,10.3,123.0,61.6,,1,2,4.00,4.84,3.84,0,0,,BoylTi00
55,Trey Lance,24,DAL,QB,4,1,0-1-0,25,41,61.0,266,0,0.0,1,2.4,13,40.0,33,6.5,5.39,10.6,66.5,69.8,38.3,4,23,8.89,5.40,4.40,0,0,,LancTr00
56,Tommy DeVito,26,NYG,QB,3,2,0-2-0,31,44,70.5,257,0,0.0,0,0.0,15,46.0,23,5.8,5.84,8.3,85.7,85.1,27.0,6,31,12.00,4.52,4.52,0,0,,DeViTo00
57,Joe Milton,24,NWE,QB,1,0,,22,29,75.9,241,1,3.4,0,0.0,14,58.6,48,8.3,9.00,11.0,241.0,111.4,72.4,0,0,0.00,8.31,9.00,0,0,,MiltJo00
58,Jake Haener,25,NOR,QB,8,1,0-1-0,18,39,46.2,226,1,2.6,1,2.6,10,31.1,36,5.8,5.15,12.6,28.3,62.6,14.4,6,55,13.33,3.80,3.24,0,0,,HaenJa00
59,Davis Mills,26,HOU,QB,4,0,,20,36,55.6,212,0,0.0,0,0.0,9,36.8,25,5.9,5.89,10.6,53.0,72.9,67.9,2,18,5.26,5.11,5.11,0,0,,MillDa02
60,Brandon Allen,32,SFO,QB,3,1,0-1-0,17,30,56.7,199,1,3.3,2,6.7,8,37.5,31,6.6,4.30,11.7,66.3,60.3,34.4,2,2,6.25,6.16,3.97,0,0,,AlleBr00
61,Skylar Thompson,27,MIA,QB,3,1,0-1-0,21,33,63.6,187,0,0.0,0,0.0,8,38.5,22,5.7,5.67,8.9,62.3,78.7,3.9,6,44,15.38,3.67,3.67,0,0,,ThomSk00
62,Mitchell Trubisky,30,BUF,QB,9,0,,19,26,73.1,179,2,7.7,0,0.0,7,42.3,69,6.9,8.42,9.4,19.9,117.3,61.1,0,0,0.00,6.88,8.42,0,0,,TrubMi00
63,Bailey Zappe,25,CLE,QB,1,1,0-1-0,16,31,51.6,170,1,3.2,2,6.5,8,34.4,30,5.5,3.23,10.6,170.0,51.8,19.6,1,5,3.13,5.16,2.97,0,0,,ZappBa00
64,Tyrod Taylor,35,NYJ,QB,2,0,,17,22,77.3,119,3,13.6,0,0.0,9,63.6,20,5.4,8.14,7.0,59.5,128.6,95.6,0,0,0.00,5.41,8.14,0,0,,TaylTy00
65,Carson Wentz,32,KAN,QB,3,1,0-1-0,12,19,63.2,118,0,0.0,0,0.0,5,26.1,25,6.2,6.21,9.8,39.3,80.6,22.9,4,22,17.39,4.17,4.17,0,0,,WentCa00
66,Hendon Hooker,26,DET,QB,3,0,,6,9,66.7,62,0,0.0,0,0.0,3,40.0,21,6.9,6.89,10.3,20.7,86.3,42.6,1,9,10.00,5.30,5.30,0,0,,HookHe00
67,Nick Mullens,29,MIN,QB,4,0,,2,2,100.0,38,0,0.0,0,0.0,2,100.0,24,19.0,19.00,19.0,9.5,118.7,97.8,0,0,0.00,19.00,19.00,0,0,,MullNi00
68,Jaxon Smith-Njigba,22,SEA,WR,17,16,,1,1,100.0,35,0,0.0,0,0.0,1,100.0,35,35.0,35.00,35.0,2.1,118.7,100.0,0,0,0.00,35.00,35.00,0,0,PB,SmitJa06
69,AJ Cole III,29,LVR,P,17,0,,1,1,100.0,34,0,0.0,0,0.0,1,100.0,34,34.0,34.00,34.0,2.0,118.7,,0,0,0.00,34.00,34.00,0,0,,ColeAJ01
70,Courtland Sutton,29,DEN,WR,17,13,,2,2,100.0,30,1,50.0,0,0.0,2,100.0,28,15.0,25.00,15.0,1.8,158.3,100.0,0,0,0.00,15.00,25.00,0,0,,SuttCo00
71,Taylor Heinicke,31,LAC,QB,4,0,,3,5,60.0,28,0,0.0,0,0.0,1,25.0,18,5.6,5.60,9.3,7.0,75.4,5.9,3,28,37.50,0.00,0.00,0,0,,HeinTa00
72,Mike White,29,BUF,QB,1,0,,3,11,27.3,28,0,0.0,0,0.0,1,9.1,14,2.5,2.55,9.3,28.0,39.6,14.0,0,0,0.00,2.55,2.55,0,0,,WhitMi01
73,Sam Howell,24,SEA,QB,2,0,,5,14,35.7,24,0,0.0,1,7.1,1,16.7,12,1.7,-1.50,4.8,12.0,14.6,3.3,4,21,22.22,0.17,-2.33,0,0,,HoweSa00
74,Adonai Mitchell,22,IND,WR,17,7,,1,1,100.0,24,0,0.0,0,0.0,1,100.0,24,24.0,24.00,24.0,1.4,118.7,73.0,0,0,0.00,24.00,24.00,0,0,,MitcAd00
75,Justin Jefferson,25,MIN,WR,17,17,,1,1,100.0,22,0,0.0,0,0.0,1,100.0,22,22.0,22.00,22.0,1.3,118.7,26.2,0,0,0.00,22.00,22.00,0,0,PBAP-1AP OPoY-7,JeffJu00
76,Taysom Hill,34,NOR,TE,8,8,,2,4,50.0,21,0,0.0,1,25.0,1,25.0,18,5.3,-6.00,10.5,2.6,26.0,92.1,0,0,0.00,5.25,-6.00,0,0,,HillTa00
77,Cedrick Wilson Jr.,29,NOR,WR,15,4,,1,1,100.0,21,1,100.0,0,0.0,1,50.0,21,21.0,41.00,21.0,1.4,158.3,99.6,1,3,50.00,9.00,19.00,0,0,,WilsCe01
78,Kyle Allen,28,PIT,QB,1,0,,1,1,100.0,19,0,0.0,0,0.0,1,100.0,19,19.0,19.00,19.0,19.0,118.7,99.4,0,0,0.00,19.00,19.00,0,0,,AlleKy00
79,Jalen Coker,23,CAR,WR,11,4,,1,1,100.0,19,0,0.0,0,0.0,1,100.0,19,19.0,19.00,19.0,1.7,118.7,99.6,0,0,0.00,19.00,19.00,0,0,,CokeJa01
80,Jack Fox,28,DET,P,17,0,,1,1,100.0,17,0,0.0,0,0.0,1,100.0,17,17.0,17.00,17.0,1.0,118.7,,0,0,0.00,17.00,17.00,0,0,PBAP-1,FoxxJa01
81,Josh Johnson,38,BAL,QB,6,0,,2,3,66.7,17,0,0.0,0,0.0,1,25.0,16,5.7,5.67,8.5,2.8,81.2,17.1,1,5,25.00,3.00,3.00,0,0,,JohnJo05
82,Stefon Diggs,31,HOU,WR,8,8,,1,1,100.0,13,0,0.0,0,0.0,1,100.0,13,13.0,13.00,13.0,1.6,118.7,13.6,0,0,0.00,13.00,13.00,0,0,,DiggSt00
83,Tyson Bagent,24,CHI,QB,4,0,,2,2,100.0,11,0,0.0,0,0.0,1,50.0,6,5.5,5.50,5.5,2.8,89.6,51.0,0,0,0.00,5.50,5.50,0,0,,BageTy00
84,Clayton Tune,25,ARI,QB,6,0,,2,2,100.0,8,0,0.0,0,0.0,0,50.0,7,4.0,4.00,4.0,1.3,83.3,0.6,0,0,0.00,4.00,4.00,0,0,,TuneCl00
85,Amon-Ra St. Brown,25,DET,WR,17,17,,1,1,100.0,7,1,100.0,0,0.0,1,100.0,7,7.0,27.00,7.0,0.4,135.4,99.6,0,0,0.00,7.00,27.00,0,0,PBAP-1AP OPoY-11,StxxAm00
86,Kyle Trask,26,TAM,QB,4,0,,1,1,100.0,5,0,0.0,0,0.0,0,100.0,5,5.0,5.00,5.0,1.3,87.5,89.4,0,0,0.00,5.00,5.00,0,0,,TrasKy00
87,Bryan Anger,36,DAL,P,17,0,,1,2,50.0,4,0,0.0,0,0.0,0,,4,2.0,2.00,4.0,0.2,56.2,,0,0,0.00,2.00,2.00,0,0,,AngeBr00
88,Riley Dixon,31,DEN,P,17,0,,1,1,100.0,3,0,0.0,0,0.0,0,,3,3.0,3.00,3.0,0.2,79.2,,0,0,0.00,3.00,3.00,0,0,,DixoRi00
89,David Montgomery,27,DET,RB,14,14,,1,1,100.0,3,1,100.0,0,0.0,1,100.0,3,3.0,23.00,3.0,0.2,118.7,100.0,0,0,0.00,3.00,23.00,0,0,,MontDa01
90,JK Scott,29,LAC,P,17,0,,1,1,100.0,3,0,0.0,0,0.0,0,,3,3.0,3.00,3.0,0.2,79.2,,0,0,0.00,3.00,3.00,0,0,,ScotJK00
91,Keenan Allen,32,CHI,WR,15,15,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,AlleKe00
92,Tutu Atwell,25,LAR,WR,17,5,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,1.7,0,0,0.00,0.00,0.00,0,0,,AtweTu00
93,Saquon Barkley,27,PHI,RB,16,16,,0,0,,0,0,,0,,0,,,,,,0.0,,0.2,1,2,100.00,-2.00,-2.00,0,0,PBAP-1AP MVP-3AP OPoY-1AP CPoY-14,BarkSa00
94,Kendrick Bourne,29,NWE,WR,12,9,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,4.2,0,0,0.00,0.00,0.00,0,0,,BourKe00
95,Tyler Boyd,30,TEN,WR,16,8,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,4.1,0,0,0.00,0.00,0.00,0,0,,BoydTy00
96,Dyami Brown,25,WAS,WR,16,3,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,5.4,0,0,0.00,0.00,0.00,0,0,,BrowDy00
97,Ty Chandler,26,MIN,RB,17,0,,0,0,,0,0,,0,,0,,,,,,0.0,,1.3,1,1,100.00,-1.00,-1.00,0,0,,ChanTy01
98,Johnny Hekker,34,CAR,P,17,0,,0,2,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,,0,0,0.00,0.00,0.00,0,0,,HekkJo00
99,Miles Killebrew,31,PIT,S,17,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,,0,0,0.00,0.00,0.00,0,0,PB,KillMi00
100,Allen Lazard,29,NYJ,WR,12,10,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.0,0,0,0.00,0.00,0.00,0,0,,LazaAl00
101,Jakobi Meyers,28,LVR,WR,15,15,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,10,100.00,-10.00,-10.00,0,0,,MeyeJa01
102,Joe Mixon,28,HOU,RB,14,14,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,1.0,0,0,0.00,0.00,0.00,0,0,PB,MixoJo00
103,Darnell Mooney,27,ATL,WR,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,3.6,0,0,0.00,0.00,0.00,0,0,,MoonDa00
104,D.J. Moore,27,CHI,WR,17,17,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,,0,0,0.00,0.00,0.00,0,0,,MoorD.00
105,Malik Nabers,21,NYG,WR,15,13,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,2.4,0,0,0.00,0.00,0.00,0,0,PBAP ORoY-5,NabeMa00
106,Chris Oladokun,27,KAN,QB,1,0,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,5,100.00,-5.00,-5.00,0,0,,OladCh00
107,Ricky Pearsall,24,SFO,WR,11,4,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,2.1,0,0,0.00,0.00,0.00,0,0,,PearRi00
108,Deebo Samuel,28,SFO,WR,15,15,,0,0,,0,0,,0,,0,,,,,,0.0,,,1,4,100.00,-4.00,-4.00,0,0,,SamuDe00
109,Penei Sewell,24,DET,RT,17,17,,0,0,,0,0,,0,,0,,,,,,0.0,,1.9,1,1,100.00,-1.00,-1.00,0,0,PBAP-1AP OPoY-11,SewePe00
